rule-id,rule-name,rule-action,rule-type,schema-name,table-name
1,1,include,selection,OPS$COMMERCE,APPLICATIONS
2,2,include,selection,OPS$COMMERCE,APPLICATIONS_ARC
3,3,include,selection,OPS$COMMERCE,APPLICATIONS_NONPSI
4,4,include,selection,OPS$COMMERCE,APPLICATION_PREFERENCES
5,5,include,selection,OPS$COMMERCE,APPLICATION_PREFERENCES_ARC
6,6,include,selection,OPS$COMMERCE,APPLICATION_PREFERENCES_NONPSI
7,7,include,selection,OPS$COMMERCE,APPLICATION_PROCESSORS
8,8,include,selection,OPS$COMMERCE,APP_PROC_INSTRUMENTS
9,9,include,selection,OPS$COMMERCE,APP_PROC_MERCHANTS
10,10,include,selection,OPS$COMMERCE,AVS_RULES_ARC
11,11,include,selection,OPS$COMMERCE,BANK_IDENT_NUM
12,12,include,selection,OPS$COMMERCE,BATCH_JOB_EXECUTION
13,13,include,selection,OPS$COMMERCE,BATCH_JOB_EXECUTION_CONTEXT
14,14,include,selection,OPS$COMMERCE,BATCH_JOB_EXECUTION_PARAMS
15,15,include,selection,OPS$COMMERCE,BATCH_JOB_INSTANCE
16,16,include,selection,OPS$COMMERCE,BATCH_STATUS
17,17,include,selection,OPS$COMMERCE,BATCH_STEP_EXECUTION
18,18,include,selection,OPS$COMMERCE,BATCH_STEP_EXECUTION_CONTEXT
19,19,include,selection,OPS$COMMERCE,BILLING_COUNTRY_DATA
20,20,include,selection,OPS$COMMERCE,BLACKLIST_EVENTS
21,21,include,selection,OPS$COMMERCE,BLACK_LISTS
22,22,include,selection,OPS$COMMERCE,BOLETOS
23,23,include,selection,OPS$COMMERCE,BUNDLES
24,24,include,selection,OPS$COMMERCE,BUNDLES_ARC
25,25,include,selection,OPS$COMMERCE,CARD_UPDATER
26,26,include,selection,OPS$COMMERCE,CARD_UPD_AUDIT
27,27,include,selection,OPS$COMMERCE,CARD_UPD_CODEMAPS
28,28,include,selection,OPS$COMMERCE,CB_FRAUD_REASONCODES
29,29,include,selection,OPS$COMMERCE,CHARGEBACKS
30,30,include,selection,OPS$COMMERCE,CHARGEBACKS_NONPSI
31,31,include,selection,OPS$COMMERCE,CHARGEBACKS_REASONCODE
32,32,include,selection,OPS$COMMERCE,COUNTRY_CODES
33,33,include,selection,OPS$COMMERCE,COUNTRY_CODES_ARC
34,34,include,selection,OPS$COMMERCE,COUNTRY_SUBDIV_CODES
35,35,include,selection,OPS$COMMERCE,COUNTRY_SUBDIV_RULES
36,36,include,selection,OPS$COMMERCE,COUPONS
37,37,include,selection,OPS$COMMERCE,COUPON_ISSUE_RULES
38,38,include,selection,OPS$COMMERCE,COUPON_ISSUE_RULES_ARC
39,39,include,selection,OPS$COMMERCE,CRD_UPD_BATCH_FILE
40,40,include,selection,OPS$COMMERCE,CURRENCY_CODES
41,41,include,selection,OPS$COMMERCE,CURRENCY_CODES_ARC
42,42,include,selection,OPS$COMMERCE,CUSTOMERS
43,43,include,selection,OPS$COMMERCE,CUSTOMER_EVENTS
44,44,include,selection,OPS$COMMERCE,DISCOUNTS
45,45,include,selection,OPS$COMMERCE,DISCOUNTS_ARC
46,46,include,selection,OPS$COMMERCE,DRPL_CONTENT
47,47,include,selection,OPS$COMMERCE,DRPL_EVENTS
48,48,include,selection,OPS$COMMERCE,DRPL_MATCH
49,49,include,selection,OPS$COMMERCE,DRPL_WHITELIST
50,50,include,selection,OPS$COMMERCE,EVENTS
